,상품 이름,판매 가격,상품 설명,이미지
0,더그린 스틱 54개입,"13,500원","더그린 스틱은 청정한 아일랜드에서 건강하게 자란 유기농감자를 사용하여 알레르기를 유발할 수 있는 곡물을 사용하지 않은 레시피로 아토피에 민감한 애견들에게도 안심하고 급여하실 수 있는 간식입니다. 유럽의 엄격한 품질기준인 BRC 인증서를 획득한 제품으로 위생적으로 제조되고 있으며, 클로로필(엽록소)성분이 함유되어 있어 면역력 증강에 많은 도움이 됩니다. 치석제거 효과로 견공들의 입냄새를 청결하게 도와주며, 씹을수록 쫀득쫀득한 질감으로 구강근육운동에 도움을 줍니다. 또한 치석과 프라그 재생성억제로 구강질환으로 생기는 각종 질병을 미리 예방할 수 있습니다. 본 제품은 애완동물용으로 그 외 용도에는 사용하지 마시고, 어린아이의 손이 닿지 않는 곳에 보관하세요. 고온, 다습, 직사광선이 있는 곳을 피해 저온보관 해주세요. 최소한의 보존제를 사용한 천연제품으로 상온에서 개방하여 보관시 변질의 우려가 있으므로 밀봉하여 냉장보관해 주시길 권장드립니다.",http://img.dogpre.com/web/dogpre/product/46/45149_detail_01718338.jpg
1,ANF 밀크스틱 6개입,"2,900원","ANF 밀크스틱은 천연 물소가죽을 100% 사용하여 안전하며, 알레르기 주요 요인 중 하나인 전분을 최소화하여 알레르기 걱정이 없는 제품입니다. 건강한 밀크파우더를 첨가해 기호성이 높으며, 스트레스 해소에 도움을 주고, 가죽의 질감으로 인해 건강한 구강환경을 만들어 줄 수 있습니다. 개봉 후에는 서늘한 곳에 보관해 주십시오.",http://img.dogpre.com/web/dogpre/product/27/26305_detail_4548.jpg
2,펫매트릭스 스마트본 치킨 미니 8개입,"4,500원","펫매트릭스 스마트본 치킨은 소가죽(화학성분으로 가공처리)이 아닌 천연식물성 원료와 순살 닭고기를 사용해 맛과 소화력이 뛰어나고 알러지 반응이 없으며, 치석과 구취제거 에 도움을 줍니다",http://img.dogpre.com/web/dogpre/product/21/20043_detail_01390177.jpg
3,네츄럴코어 칠면조 아킬레스 콜라겐말이 13개입,"9,300원","네츄럴코어 칠면조 아킬레스 콜라겐말이는 100% 칠면조 힘줄만을 사용한 무방부제, 무화학첨가제, 무인공색소, 무인공향료 제풍입니다. 필수 아미노산인 트립토판이 풍부한 칠면조는 미국에서 선정한 슈퍼푸드 14가지 중 유일한 육류 단백질이며, 세로토닌의 분비를 촉진시켜 우울증 개선과 스트레스 해소에 탁월한 효과가 있습니다. 오래 씹어 먹을 수 있고 천연 치아 관리를 겸한 영양간식으로 치아와 잇몸을 건강하게 지켜줍니다. 또한, 저칼로리, 저지방, 저콜레스테롤로 심혈관계 질환 및 당뇨병을 예방해주며 다이어트 식품으로도 좋습니다. 특히 장시간 외출할 경우, 애견 한 마리만 키우시는 경우, 일반 껌을 잘 먹지 않을 경우, 영양 보충이 필요할 경우에 추천하는 제품입니다. 개봉 전엔 직사광선을 피해 서늘한 곳에 보관 하시고, 개봉 후는 냉장 보관 하면서 가급적 빨리 급여해 주십시오.",http://img.dogpre.com/web/dogpre/product/25/24474_detail_5529.jpg
4,포켄스 덴티페어리 M 46개입,"29,000원","포켄스 덴티페어리는 구강건강에 도움을 주는 기능성 덴탈 껌입니다. 치석이 추가로 쌓이지 않도록 도움을 주는 징크아세테이트가 함유되어 있으며, 더욱 정교해진 Dental-fit 치아 맞춤 공법과 부드러운 식감으로 노령견까지 급여 가능합니다. 치아와 잇몸 건강에 도움을 주는 영양성분과 곡물이 첨가되어있고, 개별 포장으로 편리하게 급여가 가능합니다. 본 상품은 생후 3개월 이하의 강아지에게 급여하지 마시고, 과량 급여 시 소화 장애나 설사의 원인이 될 수 있으니 일일 권장량을 맞추어 주시길바라며, 어린이나 애견이 닿지 않는 장소에 직사광선을 피해 건조하고 서늘한 곳에 보관해주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/56/55911_detail_01161518.jpg
5,굿프랜드 밀크 먼치껌 10개입,620원,"굿프랜드 밀크 먼치껌은 100% 천연재료만을 엄선하여 만들어 신선도가 살아있는 밀크먼치껌은 양질의 소가죽으로 만들어져 모든 애견이 먹어도 무방하고 칼슘이 풍부한 최고급 품질의 밀크먼치껌입니다. 우유가 많이 들어있어 우유냄새가 물씬 풍겨 강아지들이 무척 잘먹는 우유껌입니다. 양질의 우피를 사용하여 씹기가 좋고 소화가 잘됩니다. 또한, 건강한 치아단련, 치석제거, 턱의 강화와 스트레스 해소에 도움이 됩니다. 직사광선, 고온다습의 장소를 피해 보관하여 주시기 바랍니다. 개봉 후에는 반드시 냉장보관하시고 최대한 빨리 급여하시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/3/2635_detail_1955.jpg
6,펫보타닉스 오메가 트릿 오리 340g,"15,000원","펫보타닉스 오메가 트릿은 저지방 저칼로리의 신선한 살코기만을 사용한 간식 입니다. 펫보타닉스는 언제나 우수한 등급의 재료들만을 사용하고 엄격한 공정관리를 거친 제품들을 생산하며 제품안전을 최우선으로 생각합니다. 풍부한 오메가3&6 함유로 피부 알러지 및 모질개선, 심혈관 기능과 면역력 강화에 도움을 줍니다. 또한 옥수수, 밀 등 곡물을 사용하지 않아 알러지 발생을 최소화하고 화학첨가물을 첨가하지 않았습니다.",http://img.dogpre.com/web/dogpre/product/53/52419_detail_01215260.jpg
7,카리에스 덴탈껌 6개입,"1,650원","카리에스 먹는치약은 먹는 타입의 치약으로 치아에 끼어있는 이물질을 분리시키는 작용과 동시에 치석등을 끌어내는 힘을 가지고 있는 제품이며 고단백, 저지방, 칼슘 첨가로 튼튼한 뼈와 골격을 유지시켜 주고 애견의 입냄새, 씹는 본능 스트레스 해소를 충족시켜 줍니다. 되도록 오래 씹을 수 있도록 해주시고, 너무 작게 잘라서 급여하는 경우 꿀꺽 삼켜버려 효과가 감소되므로 애견의 연령 및 크기에 따라 도구를 이용하여 잘라서 급여해 주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/4/3510_detail_01326139.jpg
8,프롬네이처 소고기 큐브 300g,"2,400원","프롬네이처 소고기 스테이크는 양질의 순살코기살을 주원료로 한 고단백 저지방 간식입니다. 아미노산 함유로 두뇌 신경 활동을 촉진하며, 콜라겐 함유로 피부 및 피모 개선에 도움을 줍니다. 또한, 풍부한 단백질 공급원으로 질병예방 효과 및 체중 조절견의 다이어트 식품으로 적합합니다. 상품에 생기는 흰색 분말의 경우, 순 고기 성분에서 나오는 아미노산 칼슘 결정체이며 상품에 따라 다소 색깔의 차이가 생길 수 있으나, 건조과정에서 생기는 현상으로 품질에는 이상이 없으니 안심하고 급여하시기 바랍니다. 가급적 서늘한 곳에 보관하시고 진공포장을 개봉 후에는 최대한 빨리 급여하시고 밀봉하여 냉장 보관하시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/56/55386_detail_01055824.jpg
9,페페로니 진짜 오메가3 연어 180g,"5,200원","페페로니 진짜 오메가3 연어는 알래스카 연어로 만든 소프트한 타입의 간식입니다. 치아에 부담이 가지 않는 말랑한 식감으로 어린 강아지부터 노령견까지 급여 가능하며, 글루코사민 함유로 뼈와 관절 건강에 도움을 줍니다. 연어는 비타민이 풍부해 성장소화를 촉진시키고 위장장애 완화에 도움을 주는 단백질 식품으로, 그 안에 함유되어 있는 오메가3와 연어오일은 피부 및 혈관 건강에 효과적입니다. 보관이 편리하며 작은 사이즈로 칭찬 또는 훈련 간식으로 부담없이 급여할 수 있습니다. 개봉 후에는 가급적 빠른 시일 내에 급여해주시고, 냉장보관 해주시기 바랍니다.",http://img.dogpre.com/web/dogpre/product/54/53919_detail_01497095.jpg
